object_id_a,object_id_b,shared_hub_type,shared_value,group_size
2352,7065,has_artist,James Gillinder and Sons,18
33,5340,has_artist,James Gillinder and Sons,18
2677,7065,has_artist,James Gillinder and Sons,18
2677,2678,has_artist,James Gillinder and Sons,18
2676,7065,has_artist,James Gillinder and Sons,18
2675,2678,has_artist,James Gillinder and Sons,18
2352,5526,has_artist,James Gillinder and Sons,18
5800,14269,has_artist,James Gillinder and Sons,18
2352,5340,has_artist,James Gillinder and Sons,18
14270,14272,has_artist,James Gillinder and Sons,18
5523,5524,has_artist,James Gillinder and Sons,18
33,5524,has_artist,James Gillinder and Sons,18
33,5523,has_artist,James Gillinder and Sons,18
2352,5523,has_artist,James Gillinder and Sons,18
2676,5526,has_artist,James Gillinder and Sons,18
35,744107,has_artist,Paulding Farnham|Tiffany & Co.,2
37,38,has_artist,Pierre Stephan,3
37,201402,has_artist,Pierre Stephan,3
38,201402,has_artist,Pierre Stephan,3
2960,8756,has_artist,New England Glass Company,73
6168,6812,has_artist,New England Glass Company,73
9120,9938,has_artist,New England Glass Company,73
786,6167,has_artist,New England Glass Company,73
7191,676878,has_artist,New England Glass Company,73
2696,5529,has_artist,New England Glass Company,73
6947,9173,has_artist,New England Glass Company,73
5529,21617,has_artist,New England Glass Company,73
2827,9363,has_artist,New England Glass Company,73
5532,14498,has_artist,New England Glass Company,73
9057,676878,has_artist,New England Glass Company,73
3521,816559,has_artist,New England Glass Company,73
40,5459,has_artist,New England Glass Company,73
2508,9057,has_artist,New England Glass Company,73
5530,5831,has_artist,New England Glass Company,73
108,7414,has_artist,John Bailey,2
5296,6716,has_artist,Paul Revere Jr.,32
2700,8380,has_artist,Paul Revere Jr.,32
426,7884,has_artist,Paul Revere Jr.,32
1398,8014,has_artist,Paul Revere Jr.,32
8288,8380,has_artist,Paul Revere Jr.,32
7808,8447,has_artist,Paul Revere Jr.,32
5296,5554,has_artist,Paul Revere Jr.,32
118,7994,has_artist,Paul Revere Jr.,32
118,7811,has_artist,Paul Revere Jr.,32
5296,8381,has_artist,Paul Revere Jr.,32
118,7865,has_artist,Paul Revere Jr.,32
5296,7841,has_artist,Paul Revere Jr.,32
7865,8014,has_artist,Paul Revere Jr.,32
5296,7203,has_artist,Paul Revere Jr.,32
7203,7808,has_artist,Paul Revere Jr.,32
3309,16395,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
239,9418,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
9448,16416,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
9468,17323,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
832,16416,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
9435,9480,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
240,9436,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
9480,16391,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
4014,17064,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
9432,16416,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
16391,17323,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
2324,3309,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
240,2322,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
239,9435,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
2325,9448,has_artist,Louis C. Tiffany|Tiffany Glass and Decorating Company,36
17523,19819,has_artist,Louis C. Tiffany,11
2046,784867,has_artist,Louis C. Tiffany,11
133,17469,has_artist,Louis C. Tiffany,11
2046,17469,has_artist,Louis C. Tiffany,11
133,17523,has_artist,Louis C. Tiffany,11
2174,19819,has_artist,Louis C. Tiffany,11
2046,701086,has_artist,Louis C. Tiffany,11
5402,17469,has_artist,Louis C. Tiffany,11
16753,17469,has_artist,Louis C. Tiffany,11
2174,17523,has_artist,Louis C. Tiffany,11
2046,2174,has_artist,Louis C. Tiffany,11
17469,17523,has_artist,Louis C. Tiffany,11
2174,17469,has_artist,Louis C. Tiffany,11
2046,16753,has_artist,Louis C. Tiffany,11
17469,784867,has_artist,Louis C. Tiffany,11
361,17701,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
13714,13717,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
548,7405,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
7705,13675,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
1104,2973,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
548,1175,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
3474,14172,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
2973,17700,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
1174,7705,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
8720,8763,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
552,13724,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
1216,8762,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
361,2973,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
647,4253,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
359,1866,has_artist,United Society of Believers in Christ’s Second Appearing (“Shakers”),51
1548,702902,has_artist,Wood and Hughes,7
4830,18879,has_artist,Wood and Hughes,7
1548,18879,has_artist,Wood and Hughes,7
205,4832,has_artist,Wood and Hughes,7
1548,4830,has_artist,Wood and Hughes,7
702895,702902,has_artist,Wood and Hughes,7
205,18879,has_artist,Wood and Hughes,7
4832,18879,has_artist,Wood and Hughes,7
1548,4832,has_artist,Wood and Hughes,7
4832,702895,has_artist,Wood and Hughes,7
4830,702895,has_artist,Wood and Hughes,7
18879,702902,has_artist,Wood and Hughes,7
4832,702902,has_artist,Wood and Hughes,7
205,702895,has_artist,Wood and Hughes,7
205,4830,has_artist,Wood and Hughes,7
214,15908,has_artist,Gustave Herter,3
214,712140,has_artist,Gustave Herter,3
15908,712140,has_artist,Gustave Herter,3
215,216,has_artist,Thomas Affleck,5
215,1663,has_artist,Thomas Affleck,5
215,2103,has_artist,Thomas Affleck,5
215,19525,has_artist,Thomas Affleck,5
216,1663,has_artist,Thomas Affleck,5
216,2103,has_artist,Thomas Affleck,5
216,19525,has_artist,Thomas Affleck,5
1663,2103,has_artist,Thomas Affleck,5
1663,19525,has_artist,Thomas Affleck,5
2103,19525,has_artist,Thomas Affleck,5
218,1438,has_artist,Henry Connelly,2
5027,14984,has_artist,Herter Brothers,35
20516,20608,has_artist,Herter Brothers,35
17473,17493,has_artist,Herter Brothers,35
5027,788934,has_artist,Herter Brothers,35
14971,21361,has_artist,Herter Brothers,35
14970,15552,has_artist,Herter Brothers,35
9724,16305,has_artist,Herter Brothers,35
4877,14970,has_artist,Herter Brothers,35
3453,14971,has_artist,Herter Brothers,35
16719,17493,has_artist,Herter Brothers,35
16576,16857,has_artist,Herter Brothers,35
1672,20608,has_artist,Herter Brothers,35
443,14971,has_artist,Herter Brothers,35
2021,14984,has_artist,Herter Brothers,35
3453,21361,has_artist,Herter Brothers,35
222,3554,has_artist,Heywood Brothers and Wakefield Company,2
224,225,has_artist,George Jakob Hunzinger,5
224,1771,has_artist,George Jakob Hunzinger,5
224,14488,has_artist,George Jakob Hunzinger,5
224,15593,has_artist,George Jakob Hunzinger,5
225,1771,has_artist,George Jakob Hunzinger,5
225,14488,has_artist,George Jakob Hunzinger,5
225,15593,has_artist,George Jakob Hunzinger,5
1771,14488,has_artist,George Jakob Hunzinger,5
1771,15593,has_artist,George Jakob Hunzinger,5
14488,15593,has_artist,George Jakob Hunzinger,5
1080,7589,has_artist,Léon Marcotte,17
1872,3684,has_artist,Léon Marcotte,17
228,1080,has_artist,Léon Marcotte,17
1775,13827,has_artist,Léon Marcotte,17
1775,8084,has_artist,Léon Marcotte,17
3684,13827,has_artist,Léon Marcotte,17
13827,13829,has_artist,Léon Marcotte,17
1082,7588,has_artist,Léon Marcotte,17
227,1081,has_artist,Léon Marcotte,17
228,13827,has_artist,Léon Marcotte,17
1082,13827,has_artist,Léon Marcotte,17
1774,8083,has_artist,Léon Marcotte,17
228,8084,has_artist,Léon Marcotte,17
1773,7588,has_artist,Léon Marcotte,17
1872,8083,has_artist,Léon Marcotte,17
230,7591,has_artist,Samuel McIntire,8
1777,4935,has_artist,Samuel McIntire,8
230,1674,has_artist,Samuel McIntire,8
4935,7591,has_artist,Samuel McIntire,8
4935,18077,has_artist,Samuel McIntire,8
1674,1778,has_artist,Samuel McIntire,8
1777,7591,has_artist,Samuel McIntire,8
7591,18077,has_artist,Samuel McIntire,8
1778,18077,has_artist,Samuel McIntire,8
230,4935,has_artist,Samuel McIntire,8
1674,4935,has_artist,Samuel McIntire,8
1778,7590,has_artist,Samuel McIntire,8
230,18077,has_artist,Samuel McIntire,8
230,1778,has_artist,Samuel McIntire,8
1778,7591,has_artist,Samuel McIntire,8
231,3157,has_artist,John and Joseph W. Meeks,2
1442,15388,has_artist,Charles-Honoré Lannuier,13
7505,15388,has_artist,Charles-Honoré Lannuier,13
5634,742888,has_artist,Charles-Honoré Lannuier,13
233,1442,has_artist,Charles-Honoré Lannuier,13
4538,742888,has_artist,Charles-Honoré Lannuier,13
5633,742888,has_artist,Charles-Honoré Lannuier,13
233,4538,has_artist,Charles-Honoré Lannuier,13
1442,4620,has_artist,Charles-Honoré Lannuier,13
4620,15387,has_artist,Charles-Honoré Lannuier,13
4538,15388,has_artist,Charles-Honoré Lannuier,13
1444,15388,has_artist,Charles-Honoré Lannuier,13
